crn,location,day,start,end
37502,DSB 109,T,2016-01-19T11:00:00,2016-01-19T12:15:00
37502,DSB 109,F,2016-01-22T11:00:00,2016-01-22T12:15:00
37502,DSB 109,T,2016-01-26T11:00:00,2016-01-26T12:15:00
37502,DSB 109,F,2016-01-29T11:00:00,2016-01-29T12:15:00
37502,DSB 109,T,2016-02-02T11:00:00,2016-02-02T12:15:00
37502,DSB 109,F,2016-02-05T11:00:00,2016-02-05T12:15:00
37502,DSB 109,T,2016-02-09T11:00:00,2016-02-09T12:15:00
37502,DSB 109,F,2016-02-12T11:00:00,2016-02-12T12:15:00
37502,DSB 109,F,2016-02-19T11:00:00,2016-02-19T12:15:00
37502,DSB 109,T,2016-02-23T11:00:00,2016-02-23T12:15:00
37502,DSB 109,F,2016-02-26T11:00:00,2016-02-26T12:15:00
37502,DSB 109,T,2016-03-01T11:00:00,2016-03-01T12:15:00
37502,DSB 109,F,2016-03-04T11:00:00,2016-03-04T12:15:00
37502,DSB 109,T,2016-03-15T11:00:00,2016-03-15T12:15:00
37502,DSB 109,F,2016-03-18T11:00:00,2016-03-18T12:15:00
37502,DSB 109,T,2016-03-22T11:00:00,2016-03-22T12:15:00
37502,DSB 109,F,2016-03-25T11:00:00,2016-03-25T12:15:00
37502,DSB 109,T,2016-03-29T11:00:00,2016-03-29T12:15:00
37502,DSB 109,F,2016-04-01T11:00:00,2016-04-01T12:15:00
37502,DSB 109,T,2016-04-05T11:00:00,2016-04-05T12:15:00
37502,DSB 109,F,2016-04-08T11:00:00,2016-04-08T12:15:00
37502,DSB 109,T,2016-04-12T11:00:00,2016-04-12T12:15:00
37502,DSB 109,F,2016-04-15T11:00:00,2016-04-15T12:15:00
37502,DSB 109,T,2016-04-19T11:00:00,2016-04-19T12:15:00
37502,DSB 109,F,2016-04-22T11:00:00,2016-04-22T12:15:00
37502,DSB 109,T,2016-04-26T11:00:00,2016-04-26T12:15:00
37502,DSB 109,F,2016-04-29T11:00:00,2016-04-29T12:15:00
37502,DSB 109,T,2016-05-03T11:00:00,2016-05-03T12:15:00
38344,DSB 109,T,2016-01-19T12:30:00,2016-01-19T13:45:00
38344,DSB 109,F,2016-01-22T12:30:00,2016-01-22T13:45:00
38344,DSB 109,T,2016-01-26T12:30:00,2016-01-26T13:45:00
38344,DSB 109,F,2016-01-29T12:30:00,2016-01-29T13:45:00
38344,DSB 109,T,2016-02-02T12:30:00,2016-02-02T13:45:00
38344,DSB 109,F,2016-02-05T12:30:00,2016-02-05T13:45:00
38344,DSB 109,T,2016-02-09T12:30:00,2016-02-09T13:45:00
38344,DSB 109,F,2016-02-12T12:30:00,2016-02-12T13:45:00
