crn,location,day,start,end
34390,DSB 111,R,2018-01-18T12:30:00,2018-01-18T13:45:00
34390,DSB 111,M,2018-01-22T12:30:00,2018-01-22T13:45:00
34390,DSB 111,R,2018-01-25T12:30:00,2018-01-25T13:45:00
34390,DSB 111,M,2018-01-29T12:30:00,2018-01-29T13:45:00
34390,DSB 111,R,2018-02-01T12:30:00,2018-02-01T13:45:00
34390,DSB 111,M,2018-02-05T12:30:00,2018-02-05T13:45:00
34390,DSB 111,R,2018-02-08T12:30:00,2018-02-08T13:45:00
34390,DSB 111,M,2018-02-12T12:30:00,2018-02-12T13:45:00
34390,DSB 111,R,2018-02-15T12:30:00,2018-02-15T13:45:00
34390,DSB 111,R,2018-02-22T12:30:00,2018-02-22T13:45:00
34390,DSB 111,M,2018-02-26T12:30:00,2018-02-26T13:45:00
34390,DSB 111,R,2018-03-01T12:30:00,2018-03-01T13:45:00
34390,DSB 111,M,2018-03-05T12:30:00,2018-03-05T13:45:00
34390,DSB 111,R,2018-03-08T12:30:00,2018-03-08T13:45:00
34390,DSB 111,M,2018-03-19T12:30:00,2018-03-19T13:45:00
34390,DSB 111,R,2018-03-22T12:30:00,2018-03-22T13:45:00
34390,DSB 111,M,2018-03-26T12:30:00,2018-03-26T13:45:00
34390,DSB 111,R,2018-03-29T12:30:00,2018-03-29T13:45:00
34390,DSB 111,R,2018-04-05T12:30:00,2018-04-05T13:45:00
34390,DSB 111,M,2018-04-09T12:30:00,2018-04-09T13:45:00
34390,DSB 111,R,2018-04-12T12:30:00,2018-04-12T13:45:00
34390,DSB 111,M,2018-04-16T12:30:00,2018-04-16T13:45:00
34390,DSB 111,R,2018-04-19T12:30:00,2018-04-19T13:45:00
34390,DSB 111,M,2018-04-23T12:30:00,2018-04-23T13:45:00
34390,DSB 111,R,2018-04-26T12:30:00,2018-04-26T13:45:00
34390,DSB 111,M,2018-04-30T12:30:00,2018-04-30T13:45:00
34390,DSB 111,T,2018-02-20T12:30:00,2018-02-20T13:45:00
34815,DSB 115,R,2018-01-18T09:30:00,2018-01-18T10:45:00
34815,DSB 115,M,2018-01-22T09:30:00,2018-01-22T10:45:00
34815,DSB 115,R,2018-01-25T09:30:00,2018-01-25T10:45:00
34815,DSB 115,M,2018-01-29T09:30:00,2018-01-29T10:45:00
34815,DSB 115,R,2018-02-01T09:30:00,2018-02-01T10:45:00
34815,DSB 115,M,2018-02-05T09:30:00,2018-02-05T10:45:00
