crn,location,day,start,end
32436,DSB 108,R,2015-01-22T14:00:00,2015-01-22T15:15:00
32436,DSB 108,M,2015-01-26T14:00:00,2015-01-26T15:15:00
32436,DSB 108,R,2015-01-29T14:00:00,2015-01-29T15:15:00
32436,DSB 108,M,2015-02-02T14:00:00,2015-02-02T15:15:00
32436,DSB 108,R,2015-02-05T14:00:00,2015-02-05T15:15:00
32436,DSB 108,M,2015-02-09T14:00:00,2015-02-09T15:15:00
32436,DSB 108,R,2015-02-12T14:00:00,2015-02-12T15:15:00
32436,DSB 108,R,2015-02-19T14:00:00,2015-02-19T15:15:00
32436,DSB 108,M,2015-02-23T14:00:00,2015-02-23T15:15:00
32436,DSB 108,R,2015-02-26T14:00:00,2015-02-26T15:15:00
32436,DSB 108,M,2015-03-02T14:00:00,2015-03-02T15:15:00
32436,DSB 108,R,2015-03-05T14:00:00,2015-03-05T15:15:00
32436,DSB 108,M,2015-03-09T14:00:00,2015-03-09T15:15:00
32436,DSB 108,R,2015-03-12T14:00:00,2015-03-12T15:15:00
32436,DSB 108,M,2015-03-16T14:00:00,2015-03-16T15:15:00
32436,DSB 108,R,2015-03-19T14:00:00,2015-03-19T15:15:00
32436,DSB 108,M,2015-03-23T14:00:00,2015-03-23T15:15:00
32436,DSB 108,R,2015-03-26T14:00:00,2015-03-26T15:15:00
32436,DSB 108,M,2015-03-30T14:00:00,2015-03-30T15:15:00
32436,DSB 108,R,2015-04-02T14:00:00,2015-04-02T15:15:00
32436,DSB 108,M,2015-04-06T14:00:00,2015-04-06T15:15:00
32436,DSB 108,R,2015-04-09T14:00:00,2015-04-09T15:15:00
32436,DSB 108,M,2015-04-13T14:00:00,2015-04-13T15:15:00
32436,DSB 108,R,2015-04-16T14:00:00,2015-04-16T15:15:00
32436,DSB 108,M,2015-04-20T14:00:00,2015-04-20T15:15:00
32436,DSB 108,R,2015-04-23T14:00:00,2015-04-23T15:15:00
32436,DSB 108,M,2015-04-27T14:00:00,2015-04-27T15:15:00
32436,DSB 108,R,2015-04-30T14:00:00,2015-04-30T15:15:00
32436,DSB 108,T,2015-02-17T14:00:00,2015-02-17T15:15:00
33880,DSB 106,R,2015-01-22T09:30:00,2015-01-22T10:45:00
33880,DSB 106,M,2015-01-26T09:30:00,2015-01-26T10:45:00
33880,DSB 106,R,2015-01-29T09:30:00,2015-01-29T10:45:00
33880,DSB 106,M,2015-02-02T09:30:00,2015-02-02T10:45:00
33880,DSB 106,R,2015-02-05T09:30:00,2015-02-05T10:45:00
33880,DSB 106,M,2015-02-09T09:30:00,2015-02-09T10:45:00
33880,DSB 106,R,2015-02-12T09:30:00,2015-02-12T10:45:00
33880,DSB 106,R,2015-02-19T09:30:00,2015-02-19T10:45:00
33880,DSB 106,M,2015-02-23T09:30:00,2015-02-23T10:45:00
33880,DSB 106,R,2015-02-26T09:30:00,2015-02-26T10:45:00
33880,DSB 106,M,2015-03-02T09:30:00,2015-03-02T10:45:00
33880,DSB 106,R,2015-03-05T09:30:00,2015-03-05T10:45:00
33880,DSB 106,M,2015-03-09T09:30:00,2015-03-09T10:45:00
33880,DSB 106,R,2015-03-12T09:30:00,2015-03-12T10:45:00
33880,DSB 106,M,2015-03-16T09:30:00,2015-03-16T10:45:00
33880,DSB 106,R,2015-03-19T09:30:00,2015-03-19T10:45:00
33880,DSB 106,M,2015-03-23T09:30:00,2015-03-23T10:45:00
33880,DSB 106,R,2015-03-26T09:30:00,2015-03-26T10:45:00
33880,DSB 106,M,2015-03-30T09:30:00,2015-03-30T10:45:00
33880,DSB 106,R,2015-04-02T09:30:00,2015-04-02T10:45:00
33880,DSB 106,M,2015-04-06T09:30:00,2015-04-06T10:45:00
33880,DSB 106,R,2015-04-09T09:30:00,2015-04-09T10:45:00
33880,DSB 106,M,2015-04-13T09:30:00,2015-04-13T10:45:00
33880,DSB 106,R,2015-04-16T09:30:00,2015-04-16T10:45:00
33880,DSB 106,M,2015-04-20T09:30:00,2015-04-20T10:45:00
33880,DSB 106,R,2015-04-23T09:30:00,2015-04-23T10:45:00
33880,DSB 106,M,2015-04-27T09:30:00,2015-04-27T10:45:00
33880,DSB 106,R,2015-04-30T09:30:00,2015-04-30T10:45:00
33880,DSB 106,T,2015-02-17T09:30:00,2015-02-17T10:45:00
33012,DSB 110A,R,2015-01-22T11:00:00,2015-01-22T12:15:00
33012,DSB 110A,M,2015-01-26T11:00:00,2015-01-26T12:15:00
33012,DSB 110A,R,2015-01-29T11:00:00,2015-01-29T12:15:00
33012,DSB 110A,M,2015-02-02T11:00:00,2015-02-02T12:15:00
